Date,Open,High,Low,Close,Adj Close,Volume
2015-07-21,207.769226,208.846161,206.153839,206.538467,183.095093,3806699
2015-07-22,206.769226,207.384613,204.384613,204.846161,181.594879,3137342
2015-07-23,204.461533,204.615387,201.538467,202.000000,179.071808,3016156
2015-07-24,202.384613,202.461533,197.461533,198.076920,175.594025,4046146
2015-07-27,196.461533,199.846161,196.307693,199.615387,176.957886,4716010
2015-07-28,200.769226,201.846161,199.615387,200.769226,177.980774,3608579
2015-07-29,200.692307,202.153839,200.384613,202.000000,179.071808,3118427
2015-07-30,201.769226,201.846161,200.076920,200.923080,178.117157,2875457
2015-07-31,201.769226,202.230774,200.384613,200.769226,177.980774,3015675
2015-08-03,200.923080,201.000000,196.923080,199.000000,176.412292,4235439
2015-08-04,199.153839,200.461533,198.692307,199.230774,176.616882,2858076
2015-08-05,200.692307,202.538467,200.230774,200.769226,177.980774,3311282
2015-08-06,201.153839,201.384613,199.692307,200.230774,177.503418,2248766
2015-08-07,199.615387,200.461533,197.000000,198.384613,175.866776,3369106
2015-08-10,199.230774,202.307693,199.230774,201.846161,178.935425,3052296
2015-08-11,200.230774,200.230774,197.230774,197.769226,175.321228,3670589
2015-08-12,196.461533,199.076920,195.000000,198.923080,176.344101,4091724
2015-08-13,198.230774,199.307693,197.076920,198.384613,175.866776,2134431
2015-08-14,197.307693,200.769226,197.076920,200.615387,177.844345,2702219
2015-08-17,199.615387,201.846161,198.461533,201.615387,178.730835,2499081
2015-08-18,201.307693,201.615387,199.538467,200.538467,177.776199,2645344
2015-08-19,199.230774,200.230774,197.076920,197.923080,175.457626,3789487
2015-08-20,196.230774,197.230774,193.692307,193.769226,171.775269,4503954
2015-08-21,191.538467,193.307693,188.923080,189.153839,167.683746,8463247
2015-08-24,175.692307,184.923080,149.000000,183.615387,162.773956,11860745
2015-08-25,190.230774,190.307693,179.000000,179.000000,158.682449,7901140
2015-08-26,183.461533,185.153839,179.000000,184.692307,163.728638,10265567
2015-08-27,187.923080,192.384613,187.538467,192.384613,170.547852,8436246
2015-08-28,191.692307,193.615387,190.615387,193.538467,171.570724,4282525
2015-08-31,192.153839,192.153839,189.076920,190.923080,169.252213,4810884
2015-09-01,186.461533,187.384613,182.153839,183.692307,162.842148,8494720
2015-09-02,185.692307,189.076920,183.307693,189.000000,167.547394,6562504
2015-09-03,190.461533,191.923080,187.615387,188.538467,167.138260,4363424
2015-09-04,186.000000,186.000000,183.461533,184.615387,163.660446,4631692
2015-09-08,188.538467,192.153839,186.692307,192.000000,170.206848,6007664
2015-09-09,193.846161,194.000000,188.307693,188.846161,167.410995,4499456
2015-09-10,188.923080,191.230774,188.461533,189.846161,168.297485,4555603
2015-09-11,190.307693,192.000000,188.461533,191.923080,170.138657,4147390
2015-09-14,192.076920,192.153839,189.230774,190.538467,168.911240,3410888
2015-09-15,191.538467,195.769226,190.000000,194.615387,172.525375,6023511
2015-09-16,196.384613,200.230774,195.538467,199.461533,176.821472,8000213
2015-09-17,196.153839,199.461533,194.384613,195.000000,174.413406,6349733
2015-09-18,193.461533,193.923080,190.076920,190.769226,170.629303,10123009
2015-09-21,191.461533,193.846161,191.076920,193.000000,172.624542,3850457
2015-09-22,190.461533,193.538467,189.230774,193.153839,172.762131,5746650
2015-09-23,192.384613,194.846161,192.153839,193.384613,172.968552,5354700
2015-09-24,191.307693,195.769226,189.615387,191.615387,171.386124,6921135
2015-09-25,192.307693,192.615387,191.230774,191.692307,171.454895,5063513
2015-09-28,189.923080,190.307693,187.000000,187.000000,167.257996,5543369
2015-09-29,187.153839,189.230774,186.615387,189.000000,169.046829,5406414
2015-09-30,190.230774,194.153839,189.923080,194.000000,173.518982,5688579
2015-10-01,193.461533,194.692307,190.692307,193.769226,173.312561,5164068
2015-10-02,191.307693,196.076920,191.000000,195.923080,175.239044,5547906
2015-10-05,202.846161,209.230774,201.692307,206.307693,184.527313,13705029
2015-10-06,207.615387,210.846161,207.384613,209.923080,187.761063,9348222
2015-10-07,211.538467,213.615387,210.153839,213.615387,191.063507,8537230
2015-10-08,212.538467,216.923080,211.000000,215.615387,192.852356,6644911
2015-10-09,215.230774,216.692307,214.538467,215.923080,193.127594,6152588
2015-10-12,215.230774,216.692307,214.692307,216.076920,193.265213,3281148
2015-10-13,215.153839,217.538467,214.384613,214.384613,191.751541,5616416
2015-10-14,213.384613,214.153839,211.384613,212.307693,189.893906,5084027
2015-10-15,213.846161,216.692307,212.615387,215.615387,192.852356,10007218
2015-10-16,220.076920,224.538467,217.076920,222.923080,199.388580,18462756
2015-10-19,221.538467,227.384613,221.153839,223.000000,199.457397,17034732
2015-10-20,221.692307,223.076920,220.769226,221.384613,198.012527,9770150
2015-10-21,221.461533,224.923080,221.384613,221.923080,198.494125,8502533
2015-10-22,222.692307,228.769226,222.384613,227.538467,203.516693,10591932
2015-10-23,228.461533,229.461533,226.307693,227.000000,203.035110,9992736
2015-10-26,227.076920,228.153839,226.230774,227.307693,203.310318,6338462
2015-10-27,226.230774,228.000000,224.846161,226.615387,202.691071,8788806
2015-10-28,225.615387,227.538467,224.230774,226.076920,202.209473,9240075
2015-10-29,224.384613,226.000000,223.538467,225.692307,201.865479,5508607
2015-10-30,224.769226,225.615387,222.384613,222.461533,198.975769,9232782
2015-11-02,222.615387,226.153839,222.153839,226.153839,202.278259,7735611
2015-11-03,224.692307,229.153839,224.461533,227.615387,203.585510,12457887
2015-11-04,227.307693,229.153839,226.615387,227.230774,203.241501,13667407
2015-11-05,226.692307,228.769226,225.461533,228.000000,203.929504,15937155
2015-11-06,226.461533,230.384613,225.000000,230.153839,205.855942,16394274
2015-11-09,228.923080,230.384613,226.000000,228.846161,204.686325,18910086
2015-11-10,227.923080,232.846161,227.769226,231.692307,207.232010,31130450
2015-11-11,232.307693,237.076920,232.307693,235.923080,211.016144,25687844
2015-11-12,233.923080,237.692307,231.615387,232.000000,207.507217,38062908
2015-11-13,229.692307,234.538467,229.307693,232.923080,208.332886,32129981
2015-11-16,229.846161,235.384613,229.000000,233.538467,208.883286,37024546
2015-11-17,235.153839,236.538467,230.769226,233.230774,208.608078,56073238
2015-11-18,232.461533,235.153839,231.538467,234.769226,209.984131,23110802
2015-11-19,233.692307,234.692307,232.692307,232.846161,208.264023,12860913
2015-11-20,232.769226,238.384613,232.384613,235.846161,210.947372,27398475
2015-11-23,235.307693,237.076920,232.769226,235.307693,210.465744,17600895
2015-11-24,233.307693,237.461533,232.923080,235.846161,210.947372,18963971
